Name,Country,Type,Ratings,Price_USD,Rating
Gold of Mauritius Dark ,Mauritius,Dark,60,None,7.0
Captain Morgan 1671 ,Puerto Rico,Spiced,59,87.44,7.5
Dos Maderas Luxus ,Barbados,Aged,59,153.95,8.7
Bacardi Razz ,Puerto Rico,Flavored,58,None,3.3
Gosling's 151 ,Bermuda,Overproof,29,35.91,6.5
Bacardi Añejo ,Puerto Rico,Gold,58,None,5.3
Ron Botran Reserva ,Guatemala,Aged,57,42.51,7.3
Ron Esclavo XO Cask ,Dominican Republic,Aged,57,None,8.8
Ron Esclavo 12-Year ,Dominican Republic,Aged,57,None,6.8
Plantation Barbados Grande Reserve ,Caribbean,Aged,57,23.39,6.6
 Don Pancho Origenes 18-Year Reserva Especial ,Panama,Aged,56,72.29,7.8
Barcelo Imperial Premium Blend 30 Aniversario ,Dominican Republic,Aged,56,126.86,7.6
Rum Nation Barbados Anniversary 12-Year ,Italy,Aged,28,101.97,8.3
Negrita Dark ,Martinique,Dark,56,None,3.1
Malecon 15-Year ,Panama,Aged,28,40.37,7.3
Doorly's 12-Year ,Barbados,Aged,55,None,7.7
Foursquare Zinfandel Cask Blend 11-Year ,Barbados,Aged,55,None,8.7
Diplomatico 2002 Single Vintage ,Venezuela,Aged,55,None,8.6
Beach House Spiced ,Mauritius,Spiced,27,30.82,7.3
Flor de Cana Black label 5 ,Nicaragua,Gold,27,12.37,6.0
Ron Malteco 20-Year ,Guatemala,Aged,27,56.03,7.3
Captain Morgan Parrot Bay ,Puerto Rico,Flavored,53,None,5.3
Cruzan Gold ,US Virgin Islands,Gold,52,None,6.4
Angostura 5-Year ,Trinidad,Gold,26,22.34,6.0
Clement Select Barrel ,Martinique,Aged,17,34.64,6.2
Brugal Siglo de Oro ,Dominican Republic,Aged,50,137.08,8.3
Clement Single Cask ,Martinique,Aged,25,59.73,8.0
Ron Zacapa Reserva Limitada 2014 ,Guatemala,Aged,49,None,7.9
Barbancourt 3 Star 4-Year ,Haiti,Gold,24,24.42,5.0
El Dorado Dark ,Guyana,Dark,24,15.27,6.1
English Harbour 10-Year ,Antigua,Aged,24,72.6,7.8
Don Q Anejo ,Puerto Rico,Gold,48,None,6.3
Bielle Blanc Rhum,Guadeloupe,Rhum Agricole,16,31.29,8.2
Ron Zacapa Etiqueta Negra ,Guatemala,Aged,48,101.03,7.9
Kaniche Reserve ,Barbados,Aged,24,25.22,6.8
Plantation Jamaica 2001 ,Caribbean,Aged,47,None,7.4
Bundaberg Original UP ,Australia,Gold,47,None,3.5
Brugal Extra Viejo Reserva ,Dominican Republic,Aged,46,22.02,6.6
Vizcaya Cask 12 ,Dominican Republic,Aged,23,31.84,7.4
Bacardi Select ,Puerto Rico,Dark,46,None,4.8
Cubaney Exquisito 21-Year ,Dominican Republic,Aged,23,62.35,7.9
Banks 5-Island ,Multiple,Light,15,36.45,7.1
Diplomatico Mantuano ,Venezuela,Aged,45,None,6.6
Pyrat Cask 1623 ,Anguilla,Aged,45,312.44,8.8
